suddivisione india classificare census town abitante situare distretto federato base numero abitante rientrare classe iv	train	<http://dbpedia.org/ontology/Organisation>
battaglia scontro militare avvenire giugno nord fiume ambito guerra coalizione scontro truppa francese comandare sconfiggere austriaco conseguenza scontro austriaco costringere abbandonare posizione tornare fortezza	train	<http://dbpedia.org/ontology/Event>
terzo album studio solista cantante australiano pubblicare	train	<http://dbpedia.org/ontology/Work>
us open edizione us open quarto prova stagionale slam disputare agosto settembre jean king national tennis center new york uniti singolare maschile vincere svizzero impostare statunitense set punteggio singolare femminile vincere russo battere set belga doppio maschile impostare martin doppio femminile trionfare doppio misto vittoria statunitense coppia bob	train	<http://dbpedia.org/ontology/Event>
comune rurale circondario regione omonimo comune comporre nucleo abitato	train	<http://dbpedia.org/ontology/Place>
contea inglese county contea uniti capoluogo amministrativo	train	<http://dbpedia.org/ontology/Place>
suddivisione india classificare abitante situare distretto federato base numero abitante rientrare classe	train	<http://dbpedia.org/ontology/Place>
videogioco pubblicare gioco conoscere space conoscere gioco livello gioco noto gioco azione disporre riserva simile divenire comune maggioranza moderno gioco azione	train	<http://dbpedia.org/ontology/Work>
jay new york settembre new york maggio storico scienza statunitense docente università profondo vincere american award for premio national award organizzazione formare critico letterario qualità comunicazione considerare scientifico scrivere saggio pubblicare raccogliere volume tradurre italiano	train	<http://dbpedia.org/ontology/Person>
ragazza pubblico end film dirigere presentare cinema venezia	train	<http://dbpedia.org/ontology/Work>
gran premio germania gara formula agosto settimo prova mondiale vedere vittoria jack chris gran pilota britannico finire gran premio francia	train	<http://dbpedia.org/ontology/Event>
division divisione fanteria divisione fanteria army national guard esercito uniti partecipare guerra mondiale attivare th division guardia illinois includere provenire illinois division chiamare servizio federale partecipare guerra mondiale venire organizzare texas tornare lussemburgo uniti maggio venire giugno illinois venire entrare riserva marzo servizio federale precedente guerra uniti guerra mondiale venire organizzare servizio teatro guerra pacifico sud occidentale venire febbraio novembre venire nuovamente attivare febbraio organizzare portare team	train	<http://dbpedia.org/ontology/Organisation>
challenger torneo professionistico tennis maschile giocare terra battuto edizione torneo atp challenger tour ambito atp challenger tour giocare ottobre	train	<http://dbpedia.org/ontology/Event>
virginia slims of torneo tennis giocare sintetico indoor virginia slims circuit giocare usa gennaio	train	<http://dbpedia.org/ontology/Event>
missione nasa studiare campo sonda orbita lanciare agosto bordo razzo air force florida luglio arrivare destinazione scienza nasa estendere missione sino tecnico evitare provenire terra ricerca possibile considerare luna europa missione atmosfera venire completamente distruggere sviluppare ambito programma new prevedere realizzazione missione spaziale specializzato medio costo superiore dollaro obiettivo principale proprietà pianeta massa dimensione nucleo campo composizione atmosfera particolare velocità raggiungere sonda struttura polo trattare missione diretto usare solare	train	<http://dbpedia.org/ontology/Event>
comune francese abitante situare dipartimento regione normandia gennaio fondere formare comune	train	<http://dbpedia.org/ontology/Place>
toponimo francese comune svizzero abitante canton distretto	train	<http://dbpedia.org/ontology/Place>
division unità wehrmacht venire costituire novembre guerra mondiale ufficiale soldato provenire divisione fanteria tedesco impiegare inizialmente fronte jugoslavo partecipare ruolo decisivo operazione eliminare attivo serbia distinguere soprattutto metodo violento popolazione civile venire trasferire fronte orientale rimanere guerra combattere armato centro impiegare continuare venire	train	<http://dbpedia.org/ontology/Organisation>
records etichetta discografico indipendente base francia occupare prevalentemente band death metal	train	<http://dbpedia.org/ontology/Organisation>
competizione giochi iii olimpiade svoltare ottobre presso francis washington university saint louis	train	<http://dbpedia.org/ontology/Event>
conquista isola soggetto influenza repubblica famiglia unico statale alleare aragona difficoltà finanziario guerra sicilia conflitto castiglia terra tentativo conquista ii aragona conquista papa viii isola ragione strategico economico naturale argento sale economia posizione garantire controllo mediterraneo occidentale isola base creazione cosiddetto de las permettere raggiungere ricco mercato mediterraneo orientale	train	<http://dbpedia.org/ontology/Event>
love rock album the pubblicare etichetta discografico records album venire accreditare	train	<http://dbpedia.org/ontology/Work>
greco comune grecia periferia macedonia centrale abitante dato censimento riforma amministrativo piano vigore gennaio comprendere comune	train	<http://dbpedia.org/ontology/Place>
david ray maggio giocatore baseball allenatore baseball statunitense	train	<http://dbpedia.org/ontology/Person>
villaggio canada situare provincia nuova scozia	train	<http://dbpedia.org/ontology/Place>
accademia istituzione studio promozione lingua classico centro studio conoscere estero latino greco antico	train	<http://dbpedia.org/ontology/Organisation>
competizione maschile km sci fondo gioco olimpico invernale svoltare febbraio competizione squadra	train	<http://dbpedia.org/ontology/Event>
software libero permettere gestire completo servizio file codice pubblicare termine licenza diverso pc mobile versione ufficiale disponibile	train	<http://dbpedia.org/ontology/Work>
comune francese abitante situare dipartimento regione normandia	train	<http://dbpedia.org/ontology/Place>
census designated place cdp uniti america situare california contea	train	<http://dbpedia.org/ontology/Place>
calcio noto società calcistico italiano sede milita serie terzo divisione campionato italiano vivere periodo migliore storia sessanta serie soprattutto metà guidare tecnico disputare stagione massimo serie qualificazione coppa uefa livello europeo calcio inedito rapido attacco miglior massimo serie nono raggiungere stagione vincere coppe italia supercoppa serie coppa italia arrivare terzo girone finale semifinale qualificazione coppa coppe ottenere raggiungere finale competizione vincere disputare campionato serie divisione metà epoca massimo livello calcistico campionato serie divisione rispettivamente metà xx secolo livello calcistico unione sportiva iscrivere campionato lega pro divisione conseguenza fondare capoluogo società calcistico base articolo associazione calcistica calcio ammettere serie tradizione sportivo cittadina assumere denominazione calcio marchio storico vecchio club incontro fallimento tradizione sportivo rilevare calcio società sportiva ammettere serie proseguire tradizione sportivo	train	<http://dbpedia.org/ontology/Organisation>
film dirigere frank storia trattare teatrale portare schermo film re venire remake musical interpretazione cinematografico	train	<http://dbpedia.org/ontology/Work>
università galles sud inglese university of south de nascere fusione precedente università sede galles esistere campus capitale european college of and londra lord williams	train	<http://dbpedia.org/ontology/Organisation>
russo novembre san pietroburgo agosto poeta russo	train	<http://dbpedia.org/ontology/Person>
volume ii live album vivo musicale statunitense pubblicare records	train	<http://dbpedia.org/ontology/Work>
edizione coppa vedere vittoria finale conquistare	train	<http://dbpedia.org/ontology/Event>
monte lingua inglese montagna forma alto situare bordo settentrionale km ovest monte united states base aereo navy periodo denominazione assegnare on us onore richard navy servizio presso stazione	train	<http://dbpedia.org/ontology/Place>
san josé comune colombia dipartimento centro abitato venire fondare marco	train	<http://dbpedia.org/ontology/Place>
londra luglio new york agosto medico chimico scrittore accademico britannico docente docente columbia university riconoscere columbia precedentemente diversi albert college of university new york professore esterno università regno unito autore numerosi libro best soggetto libro film omonimo libro oggetto episodio serie	train	<http://dbpedia.org/ontology/Person>
novembre allenatore calcio calciatore britannico ruolo centrocampista	train	<http://dbpedia.org/ontology/Person>
blues brano musicale contenere album the noto white album	train	<http://dbpedia.org/ontology/Work>
aprile dicembre calciatore belga ruolo attaccante	train	<http://dbpedia.org/ontology/Person>
album studio musicale statunitense pubblicare settembre records records	train	<http://dbpedia.org/ontology/Work>
guerra settembre allenatore calcio calciatore italiano ruolo difensore allenatore	train	<http://dbpedia.org/ontology/Person>
the first film dirigere film interpretare tony basare vero storia iscrivere scuola età annunciare programma istruzione	train	<http://dbpedia.org/ontology/Work>
census designated place cdp uniti america situare oklahoma contea	train	<http://dbpedia.org/ontology/Place>
football club società calcio svizzero fondazione risalire marzo milita lega	train	<http://dbpedia.org/ontology/Organisation>
banca popolare istituto credito popolare italiano fondare autonomo banca banca popolare italiano	train	<http://dbpedia.org/ontology/Organisation>
battaglia porto battaglia navale rivoluzione americano aprile flotta britannico comandare francese guidare pierre de de saint entrambe flotta capo britannici controllo capo olandese francese difendere oceano indiano britannico nave guerra porto capo verde francese attaccare nave flotta francese costringere ritirare alcune nave scontro consentire britannici affrontare olandese capo continuare viaggio isola	train	<http://dbpedia.org/ontology/Event>
squadra calcio croato sede fondare stagione divisione livello calcio croato	train	<http://dbpedia.org/ontology/Organisation>
terra album studio cantante italiano pubblicare ottobre distribuzione sony febbraio album vinile decidere pubblicare album interamente comporre sacro religioso album cantare chiesa antonio pubblicare forma legare produzione affidare figlio aiuto teologo luigi esperto musica massimo materiale album vii xvii secolo seguire ricerca testo originale solitamente musicale creazione base affidare musicista italiano scuola italiano musica classico album ottenere critica italiano scelta voce interpretazione mettere esperienza campo musica leggero volere dedicare album cantante russo brano live brano	train	<http://dbpedia.org/ontology/Work>
open torneo tennis giocato cemento indoor edizione torneo categoria atp world tour series ambito atp world tour giocare francia settembre	train	<http://dbpedia.org/ontology/Event>
dark dark atmosfera formare attivo band affermare suonare dark influenza musicista norvegese band etichetta discografico scena dark mondiale dark atmosfera influenza scena dark metal black metal	train	<http://dbpedia.org/ontology/Organisation>
mario dicembre gennaio calciatore allenatore calcio francese	train	<http://dbpedia.org/ontology/Person>
comune uniti america situare oklahoma contea texas	train	<http://dbpedia.org/ontology/Place>
international torneo tennis giocato cemento edizione torneo categoria tier iv ambito wta tour giocare australia gennaio	train	<http://dbpedia.org/ontology/Event>
charles van politico britannico membro partito conservatore	train	<http://dbpedia.org/ontology/Person>
bruno roma maggio roma agosto compositore direttore editore musicale italiano attivo campo colonna organizzazione musicale romano	train	<http://dbpedia.org/ontology/Person>
uniti america situare minnesota contea scott	train	<http://dbpedia.org/ontology/Place>
elezione parlamentare repubblica ceco tenere maggio giugno vittoria partito democratico divenire presidente crisi giungere guidare	train	<http://dbpedia.org/ontology/Event>
klub conoscere semplicemente società calcistico bulgaro sede attualmente militare terzo lega bulgaro terzo divisione calcio bulgaro	train	<http://dbpedia.org/ontology/Organisation>
settimo album studio cantante statunitense pubblicare maggio records	train	<http://dbpedia.org/ontology/Work>
greco antico latino sicilia morte nascere famiglia fisico militare riuscire ben guerra civile divenire capo democratico venire nominare pace guerra atto linea sorgere epoca segnare numerosi conflitto territoriale affrontare africano spedizione africa impero comando rimanere antico serie successo militare costringere ritorno sicilia battaglia affrontare vincere definitivamente opporre concludere pace re sicilia alessandro dedicare regno difesa grecia conflitto armare popolazione giungere mare affrontare mare terra truppa re macedonia sconfiggere sposare figlia re rapporto egitto sposare figlia regina principessa presentare figlio ii trono riconoscere re macedonia qualità alleato unire figlia figlio trono violento lotta impedire continuare decidere punto morte nominare ufficialmente assemblea popolo	train	<http://dbpedia.org/ontology/Person>
stella bianco visibile situare distanza luce sistema solare trattare stella principale giovane dimensione appena superiore sole tipo appartenere comprendere stella caratterizzare basso classificare stella tipo caratterizzare presenza orbita disco unico stella conoscere contemporaneamente stella stella tipo sebbene stella basso attorno essa sistema contenere almeno pianeta assieme confermare diretto studio effettuare pianeta	train	<http://dbpedia.org/ontology/Place>
bielorusso russo traslitterare gennaio berlino giugno calciatore sovietico bielorusso	train	<http://dbpedia.org/ontology/Person>
musicale belga fondare artista padre belga madre nascere formazione influenza pop africano statunitense album pubblicare etichetta musicale alternativo david artista discografico album debutto numeroso collaborazione internazionale musicista the partecipare concerto organizzare rivista new york raccogliere diversi musicista battere ampio diffusione licenza brano includere colonna sonoro originale fifa	train	<http://dbpedia.org/ontology/Organisation>
nascere john ii settembre attrice cantautrice statunitense iniziare genere femminile ottobre annunciare	train	<http://dbpedia.org/ontology/Person>
giovane film dirigere protagonista pellicola austriaco baviera	train	<http://dbpedia.org/ontology/Work>
open torneo tennis giocare terra battuto edizione torneo union grand prix giocare uniti luglio agosto	train	<http://dbpedia.org/ontology/Event>
russo insediamento tipo urbano russia situare fiume capoluogo omonimo	train	<http://dbpedia.org/ontology/Place>
partito ceco ceco partito politico ceco fondare principale tema sostenere partito diretto riforma diritto autore libertà informazione membro internazionale partito partito europeo	train	<http://dbpedia.org/ontology/Organisation>
club società calcistico sede fondare stagione militare liga massimo categoria campionato rumeno calcio	train	<http://dbpedia.org/ontology/Organisation>
